Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
elite-werkzeugbidon-byasi-600-cm3-dunkelgrau,Elite Werkzeugbidon Byasi 600 cm3 dunkelgrau,"",ELITE,,Zubehör > Trinkflaschen,"accessory, bottle, ELITE, hydration, imported-2025-08-07, imported-ecom, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.83221,0.0,shopify,deny,manual,9.90,,true,true,'8020775040751,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-83221.jpg?v=1754585357,1,Elite Werkzeugbidon Byasi 600 cm3 dunkelgrau,false,Contenitore porta oggetti Elite Byasi 600 cm3 grigio scuro,,,,,,new,FALSE,ELITE,,,,,,,,,,g,,5.45,active
shimano-men-road-sh-rc9-s-phyre-spd-sl-red-445,Shimano Men Road SH-RC9 S-PHYRE SPD-SL red 44.5,"",GODSPEED ebike,,General,"godspeed-ebike, imported-2025-08-07, imported-ecom, racing, road, shimano",true,Title,Default Title,,,,,,,,83.79088,0.0,shopify,deny,manual,240.00,,true,true,'4550170708719,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/83-79088-se.jpg?v=1754585356,1,Shimano Men Road SH-RC9 S-PHYRE SPD-SL red 44.5,false,Shimano Men Road SH-RC9 S-PHYRE SPD-SL red 44.5,,,,,,new,FALSE,,,,,,,,,,,g,,172.80,active
selle-royal-respiro-soft-black-unisex-279x159mm-athletic,"Selle Royal Respiro Soft black, unisex, 279x159mm, athletic","",Selle Royal,,Teile > Sattel,"accessory, imported-2025-08-07, imported-ecom, Sattel, Selle Royal, Teile",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,74.90,,true,true,'8021890575098,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/2ccca47d-26db-4a5b-9f2f-2c231e59c878.webp?v=1754585354,1,"Selle Royal Respiro Soft black, unisex, 279x159mm, athletic",false,"Selle Royal Respiro Soft black, unisex, 279x159mm, athletic",,,,,,new,FALSE,Selle Royal,,,,,,,,,,g,,35.43,active
cuscino-multicharger,Cuscino Multicharger,"",RIESE & MÜLLER,,Zubehör > Kindersitz,"accessory, baby-seat, child-seat, family, imported-2025-08-07, imported-ecom, Kindersitz, RIESE & MÜLLER, Zubehör",true,Title,Default Title,,,,,,,,VBK0304,0.0,shopify,deny,manual,45.00,,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/vbk0304-34.jpg?v=1754585353,1,Cuscino Multicharger,false,Cuscino Multicharger,,,,,,new,FALSE,RIESE & MÜLLER,,,,,,,,,,g,,25.87,active
shimano-xt-di2-upgrade-kit-rd-m8250-sgssw-m8250-irbt-dn320ec-dn100sm-cn910-12-box,"Shimano XT Di2 Upgrade Kit, RD-M8250- SGS/SW-M8250-IR/BT-DN320/EC-DN100/SM-CN910-12 Box","",SHIMANO,,Teile > Getriebe und Übersetzung,"accessory, Getriebe und Übersetzung, imported-2025-08-07, imported-ecom, SHIMANO, Teile",true,Title,Default Title,,,,,,,,72.89761,0.0,shopify,deny,manual,730.00,,true,true,'4550170928292,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/7289761-gruppenuebersicht.jpg?v=1754585353,1,"Shimano XT Di2 Upgrade Kit, RD-M8250- SGS/SW-M8250-IR/BT-DN320/EC-DN100/SM-CN910-12 Box",false,"Shimano XT Di2 Upgrade Kit, RD-M8250- SGS/SW-M8250-IR/BT-DN320/EC-DN100/SM-CN910-12 Box",,,,,,new,FALSE,SHIMANO,,,,,,,,,,g,,374.00,active
bottiglia-di-plastica-monkeylink-di-ricambio-monkey-bottle-twist-da-450-ml-senza-supporto,Bottiglia di plastica MonkeyLink di ricambio Monkey Bottle Twist da 450 ml senza supporto,"",MonkeyLink,,Zubehör > Trinkflaschen,"accessory, bottle, hydration, imported-2025-08-07, imported-ecom, MonkeyLink, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.82085,0.0,shopify,deny,manual,16.90,,true,true,'4002556992538,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-82085-01.jpg?v=1754585352,1,Bottiglia di plastica MonkeyLink di ricambio Monkey Bottle Twist da 450 ml senza supporto,false,Bottiglia di plastica MonkeyLink di ricambio Monkey Bottle Twist da 450 ml senza supporto,,,,,80243,new,FALSE,MonkeyLink,,,,,,,,,,g,,9.50,active
shimano-cassette-xt-cs-m8200-12-vitesses-10-51-dents-micro-spline,Shimano Cassette XT CS-M8200 12-vitesses 10-51 dents Micro Spline,"",GODSPEED ebike,,Teile > Getriebe und Übersetzung,"accessory, Getriebe und Übersetzung, godspeed-ebike, imported-2025-08-07, imported-ecom, shimano, Teile",true,Title,Default Title,,,,,,,,67.88541,0.0,shopify,deny,manual,192.00,,true,true,'192790305479,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/6788541-fr.png?v=1754585351,1,Shimano Cassette XT CS-M8200 12-vitesses 10-51 dents Micro Spline,false,Shimano Cassette XT CS-M8200 12-vitesses 10-51 dents Micro Spline,,,,,,new,FALSE,,,,,,,,,,,g,,102.00,active
riesemueller-protezione-raggi-multicharger-my2020,RIESE&MÜLLER - protezione raggi multicharger MY2020,"",RIESE & MÜLLER,,Teile > Räder,"accessory, imported-2025-08-07, imported-ecom, RIESE & MÜLLER, Räder, Teile",true,Title,Default Title,,,,,,,,VBK0269,0.0,shopify,deny,manual,45.00,,true,true,'2100000067950,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/vbk0269-13.jpg?v=1754585350,1,RIESE&MÜLLER - protezione raggi multicharger MY2020,false,RIESE&MÜLLER - protezione raggi multicharger MY2020,,,,,,new,FALSE,RIESE & MÜLLER,,,,,,,,,,g,,36.98,active
riese-muller-copertura-bambini-packster-40-a-partire-da-my2019,Riese & Muller - Copertura bambini Packster 40 a partire da MY2019,"",RIESE & MÜLLER,,Zubehör > Regenschutz,"accessory, imported-2025-08-07, imported-ecom, Regenschutz, RIESE & MÜLLER, Zubehör",true,Title,Default Title,,,,,,,,VBK0265,0.0,shopify,deny,manual,169.00,270.00,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/vbk0265-31.jpg?v=1754585349,1,Riese & Muller - Copertura bambini Packster 40 a partire da MY2019,false,Riese & Muller - Copertura bambini Packster 40 a partire da MY2019,,,,,VBK0265,new,FALSE,RIESE & MÜLLER,,,,,,,,,,g,,155.70,active
sattel-fuer-gsd-schwarz-grau,"Sattel für GSD, Schwarz / Grau","",Tern,,Teile > Sattel,"accessory, imported-2025-08-07, imported-ecom, Sattel, Teile, Tern",true,Title,Default Title,,,,,,,,H9405S,0.0,shopify,deny,manual,34.90,,true,true,'2100000215890,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/h9405s.jpg?v=1754585348,1,"Sattel für GSD, Schwarz / Grau",false,Sella per GSD Nera,,,,,,new,FALSE,Tern,,,,,,,,,,g,,19.50,active
